season,start_hour,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
spring,7,thursday,mist cloudy,0.16,0.2273,0.59,0.0,0,95,95
spring,8,thursday,clear cloudy,0.16,0.2273,0.59,0.0,3,216,219
spring,9,thursday,mist cloudy,0.18,0.2424,0.51,0.0,6,116,122
spring,10,thursday,clear cloudy,0.2,0.2576,0.47,0.0,3,42,45
spring,11,thursday,clear cloudy,0.22,0.2576,0.44,0.0896,2,57,59
spring,12,thursday,clear cloudy,0.26,0.2879,0.35,0.0,6,78,84
spring,13,thursday,clear cloudy,0.26,0.2727,0.35,0.1045,12,55,67
spring,14,thursday,clear cloudy,0.28,0.2727,0.36,0.1642,11,59,70
spring,15,thursday,clear cloudy,0.28,0.2727,0.36,0.0,8,54,62
spring,16,thursday,clear cloudy,0.26,0.2576,0.38,0.1642,12,74,86
spring,17,thursday,clear cloudy,0.22,0.2273,0.51,0.1642,9,163,172
spring,18,thursday,clear cloudy,0.22,0.2273,0.51,0.1343,5,158,163
spring,19,thursday,clear cloudy,0.22,0.2576,0.55,0.0896,3,109,112
spring,20,thursday,clear cloudy,0.2,0.2121,0.51,0.1642,3,66,69
spring,21,thursday,mist cloudy,0.22,0.2121,0.55,0.2239,0,48,48
spring,22,thursday,mist cloudy,0.22,0.2121,0.51,0.2836,1,51,52
spring,23,thursday,mist cloudy,0.2,0.197,0.59,0.194,4,19,23
spring,0,friday,mist cloudy,0.2,0.197,0.64,0.194,4,13,17
spring,1,friday,mist cloudy,0.2,0.197,0.69,0.2239,2,5,7
spring,2,friday,mist cloudy,0.2,0.197,0.69,0.2239,0,1,1
spring,4,friday,mist cloudy,0.2,0.2121,0.69,0.1343,0,1,1
spring,5,friday,light rain,0.22,0.2727,0.55,0.0,0,5,5
spring,6,friday,mist cloudy,0.2,0.2576,0.69,0.0,8,26,34
spring,7,friday,clear cloudy,0.2,0.2121,0.69,0.1343,8,76,84
spring,8,friday,clear cloudy,0.2,0.197,0.51,0.2537,20,190,210
spring,9,friday,clear cloudy,0.2,0.1818,0.47,0.2985,9,125,134
spring,10,friday,clear cloudy,0.22,0.197,0.37,0.3284,16,47,63
spring,11,friday,mist cloudy,0.2,0.197,0.4,0.2239,19,48,67
spring,12,friday,mist cloudy,0.2,0.197,0.37,0.2537,9,50,59
spring,13,friday,mist cloudy,0.2,0.1818,0.37,0.2836,9,64,73
spring,14,friday,mist cloudy,0.2,0.197,0.4,0.2537,7,43,50
spring,15,friday,mist cloudy,0.2,0.2121,0.37,0.1642,9,63,72
spring,16,friday,mist cloudy,0.2,0.2121,0.37,0.1642,5,82,87
spring,17,friday,mist cloudy,0.2,0.2576,0.37,0.0,9,178,187
spring,18,friday,clear cloudy,0.2,0.2273,0.4,0.0896,7,116,123
spring,19,friday,clear cloudy,0.16,0.197,0.55,0.0896,3,92,95
spring,20,friday,clear cloudy,0.18,0.2121,0.47,0.1045,1,50,51
spring,21,friday,clear cloudy,0.18,0.197,0.47,0.1343,0,39,39
spring,22,friday,mist cloudy,0.18,0.197,0.43,0.1642,2,34,36
spring,23,friday,mist cloudy,0.18,0.197,0.51,0.1642,1,14,15
spring,0,saturday,mist cloudy,0.18,0.197,0.51,0.1642,1,24,25
spring,1,saturday,mist cloudy,0.18,0.2121,0.55,0.0896,1,15,16
spring,2,saturday,mist cloudy,0.18,0.2424,0.55,0.0,3,13,16
spring,3,saturday,light rain,0.18,0.197,0.55,0.1642,0,7,7
spring,4,saturday,light rain,0.18,0.197,0.55,0.1642,0,1,1
spring,5,saturday,mist cloudy,0.16,0.1667,0.74,0.1642,0,5,5
spring,6,saturday,mist cloudy,0.16,0.1667,0.74,0.1642,0,2,2
spring,7,saturday,mist cloudy,0.16,0.1818,0.74,0.1045,1,8,9
spring,8,saturday,light rain,0.16,0.1818,0.93,0.1045,0,15,15
spring,9,saturday,light rain,0.16,0.1818,0.93,0.1045,0,20,20
spring,10,saturday,mist cloudy,0.18,0.197,0.8,0.1642,5,56,61
spring,11,saturday,mist cloudy,0.2,0.1818,0.69,0.3881,2,60,62
spring,12,saturday,mist cloudy,0.2,0.1818,0.59,0.3582,8,90,98
spring,13,saturday,clear cloudy,0.2,0.1818,0.44,0.3284,7,95,102
spring,14,saturday,clear cloudy,0.2,0.1667,0.32,0.4925,12,83,95
spring,15,saturday,clear cloudy,0.2,0.1667,0.32,0.4478,5,69,74
spring,16,saturday,clear cloudy,0.18,0.1364,0.29,0.4478,8,68,76
spring,17,saturday,clear cloudy,0.16,0.1212,0.37,0.5522,5,64,69
spring,18,saturday,clear cloudy,0.14,0.1212,0.39,0.2985,3,52,55
spring,19,saturday,clear cloudy,0.14,0.1212,0.36,0.2537,4,26,30
spring,20,saturday,clear cloudy,0.12,0.1212,0.36,0.2537,0,28,28
spring,21,saturday,clear cloudy,0.12,0.1061,0.39,0.3582,2,35,37
spring,22,saturday,clear cloudy,0.12,0.1061,0.36,0.3881,1,33,34
spring,23,saturday,clear cloudy,0.1,0.0606,0.39,0.4478,0,22,22
spring,0,sunday,clear cloudy,0.1,0.0758,0.42,0.3881,1,24,25
spring,1,sunday,clear cloudy,0.1,0.0606,0.42,0.4627,0,12,12
spring,2,sunday,clear cloudy,0.1,0.0606,0.46,0.4627,0,11,11
spring,3,sunday,clear cloudy,0.1,0.0758,0.46,0.4179,0,4,4
spring,4,sunday,clear cloudy,0.08,0.0909,0.53,0.194,0,1,1
spring,5,sunday,clear cloudy,0.08,0.0909,0.53,0.194,0,1,1
spring,6,sunday,clear cloudy,0.1,0.0909,0.49,0.2836,0,1,1
spring,7,sunday,clear cloudy,0.08,0.0909,0.53,0.194,1,5,6
spring,8,sunday,clear cloudy,0.1,0.0909,0.49,0.2836,0,10,10
spring,9,sunday,clear cloudy,0.12,0.0758,0.46,0.5224,0,19,19
spring,10,sunday,clear cloudy,0.14,0.1061,0.43,0.3881,0,49,49
spring,11,sunday,clear cloudy,0.16,0.1212,0.4,0.5224,2,47,49
spring,12,sunday,clear cloudy,0.18,0.1364,0.37,0.4478,4,79,83
spring,13,sunday,clear cloudy,0.2,0.1667,0.34,0.4478,6,69,75
spring,14,sunday,clear cloudy,0.22,0.1818,0.32,0.4627,8,64,72
spring,15,sunday,clear cloudy,0.22,0.197,0.35,0.3582,5,77,82
spring,16,sunday,clear cloudy,0.2,0.1667,0.34,0.4478,13,79,92
spring,17,sunday,clear cloudy,0.18,0.1515,0.37,0.3881,3,59,62
spring,18,sunday,clear cloudy,0.16,0.1364,0.4,0.3284,4,44,48
spring,19,sunday,clear cloudy,0.16,0.1364,0.43,0.3284,1,40,41
spring,20,sunday,clear cloudy,0.14,0.1212,0.46,0.2537,0,38,38
spring,21,sunday,clear cloudy,0.14,0.1061,0.46,0.4179,1,19,20
spring,22,sunday,clear cloudy,0.14,0.1212,0.46,0.2985,5,10,15
spring,23,sunday,clear cloudy,0.12,0.1364,0.5,0.194,0,6,6
spring,0,monday,clear cloudy,0.12,0.1212,0.5,0.2836,2,3,5
spring,1,monday,clear cloudy,0.12,0.1212,0.5,0.2836,1,0,1
spring,2,monday,clear cloudy,0.12,0.1212,0.5,0.2239,0,3,3
spring,3,monday,clear cloudy,0.12,0.1212,0.5,0.2239,0,1,1
spring,4,monday,clear cloudy,0.1,0.1212,0.54,0.1343,1,2,3
spring,5,monday,clear cloudy,0.1,0.1061,0.54,0.2537,0,3,3
spring,6,monday,clear cloudy,0.12,0.1212,0.5,0.2836,0,31,31
spring,7,monday,clear cloudy,0.12,0.1212,0.5,0.2239,2,75,77
spring,8,monday,mist cloudy,0.12,0.1212,0.5,0.2836,4,184,188
spring,9,monday,mist cloudy,0.14,0.1212,0.5,0.2537,2,92,94
spring,10,monday,mist cloudy,0.14,0.1212,0.5,0.2985,0,31,31
spring,11,monday,mist cloudy,0.16,0.1364,0.47,0.2836,2,28,30
spring,12,monday,mist cloudy,0.2,0.1818,0.4,0.2836,5,47,52
spring,13,monday,mist cloudy,0.2,0.1818,0.4,0.2836,4,50,54
spring,14,monday,mist cloudy,0.2,0.197,0.4,0.2239,0,47,47
spring,15,monday,mist cloudy,0.2,0.197,0.4,0.2239,2,43,45
spring,16,monday,clear cloudy,0.2,0.2121,0.4,0.1343,4,70,74
spring,17,monday,clear cloudy,0.2,0.2273,0.4,0.1045,4,174,178
spring,18,monday,clear cloudy,0.2,0.197,0.4,0.2239,1,154,155
spring,19,monday,clear cloudy,0.16,0.1667,0.47,0.1642,3,92,95
spring,20,monday,clear cloudy,0.16,0.1667,0.5,0.1642,1,73,74
spring,21,monday,clear cloudy,0.14,0.1364,0.59,0.194,1,37,38
spring,22,monday,clear cloudy,0.14,0.1515,0.59,0.1642,2,22,24
spring,23,monday,clear cloudy,0.14,0.1515,0.59,0.1642,0,18,18
spring,0,tuesday,clear cloudy,0.14,0.1667,0.59,0.1045,2,10,12
spring,1,tuesday,clear cloudy,0.14,0.1515,0.59,0.1642,0,3,3
spring,2,tuesday,mist cloudy,0.16,0.1515,0.55,0.194,0,3,3
spring,5,tuesday,mist cloudy,0.16,0.1818,0.55,0.1343,0,6,6
spring,6,tuesday,mist cloudy,0.16,0.1818,0.55,0.1343,0,27,27
spring,7,tuesday,mist cloudy,0.16,0.2273,0.55,0.0,2,97,99
spring,8,tuesday,mist cloudy,0.18,0.2121,0.51,0.0896,3,214,217
spring,9,tuesday,mist cloudy,0.18,0.197,0.51,0.1642,3,127,130
spring,10,tuesday,mist cloudy,0.2,0.2121,0.51,0.1642,3,51,54
spring,11,tuesday,mist cloudy,0.2,0.2121,0.47,0.1343,4,31,35
spring,12,tuesday,mist cloudy,0.2,0.2273,0.51,0.1045,2,55,57
spring,13,tuesday,mist cloudy,0.2,0.2273,0.59,0.0896,6,46,52
spring,14,tuesday,mist cloudy,0.2,0.2273,0.59,0.0896,3,60,63
spring,15,tuesday,mist cloudy,0.16,0.197,0.8,0.0896,2,45,47
spring,16,tuesday,mist cloudy,0.16,0.1515,0.86,0.2239,4,72,76
spring,17,tuesday,mist cloudy,0.16,0.1515,0.86,0.2239,6,130,136
spring,18,tuesday,light rain,0.16,0.1818,0.93,0.1045,1,94,95
spring,19,tuesday,light rain,0.16,0.2273,0.93,0.0,0,51,51
spring,20,tuesday,light rain,0.16,0.1515,0.93,0.194,0,32,32
spring,21,tuesday,light rain,0.16,0.197,0.86,0.0896,0,20,20
spring,22,tuesday,light rain,0.16,0.1818,0.93,0.1045,1,28,29
spring,23,tuesday,light rain,0.16,0.197,0.93,0.0896,1,18,19
spring,0,wednesday,mist cloudy,0.16,0.197,0.86,0.0896,0,7,7
spring,1,wednesday,mist cloudy,0.16,0.1818,0.86,0.1045,0,6,6
spring,2,wednesday,clear cloudy,0.14,0.1515,0.86,0.1343,0,1,1
spring,5,wednesday,clear cloudy,0.14,0.1515,0.86,0.1642,0,5,5
spring,6,wednesday,clear cloudy,0.12,0.1515,0.93,0.1343,0,16,16
spring,7,wednesday,clear cloudy,0.14,0.1515,0.69,0.1343,0,54,54
spring,8,wednesday,clear cloudy,0.16,0.1667,0.59,0.1642,3,125,128
spring,9,wednesday,clear cloudy,0.16,0.1364,0.59,0.3284,3,78,81
spring,10,wednesday,clear cloudy,0.18,0.1818,0.55,0.2239,0,39,39
spring,11,wednesday,clear cloudy,0.2,0.1818,0.51,0.3881,3,32,35
spring,12,wednesday,clear cloudy,0.2,0.1515,0.47,0.5821,3,52,55
spring,13,wednesday,clear cloudy,0.22,0.197,0.44,0.3582,0,49,49
spring,14,wednesday,clear cloudy,0.2,0.1818,0.47,0.3284,0,44,44
spring,15,wednesday,clear cloudy,0.2,0.1667,0.47,0.4179,1,48,49
spring,16,wednesday,clear cloudy,0.22,0.197,0.44,0.3284,5,63,68
spring,17,wednesday,clear cloudy,0.2,0.1818,0.47,0.3582,0,139,139
spring,18,wednesday,clear cloudy,0.2,0.1515,0.47,0.5224,2,135,137
spring,19,wednesday,clear cloudy,0.18,0.1515,0.47,0.4179,1,82,83
spring,20,wednesday,clear cloudy,0.16,0.1364,0.5,0.3284,2,54,56
spring,21,wednesday,clear cloudy,0.16,0.1364,0.55,0.3284,0,57,57
spring,22,wednesday,clear cloudy,0.16,0.1212,0.55,0.4478,1,32,33
spring,23,wednesday,clear cloudy,0.14,0.1061,0.59,0.4179,1,19,20
spring,0,thursday,clear cloudy,0.14,0.1212,0.59,0.2836,1,6,7
spring,1,thursday,clear cloudy,0.14,0.1212,0.5,0.2836,0,2,2
spring,2,thursday,clear cloudy,0.14,0.1212,0.5,0.3582,0,2,2
spring,3,thursday,clear cloudy,0.14,0.1212,0.5,0.3284,0,3,3
spring,4,thursday,clear cloudy,0.14,0.1212,0.5,0.2537,0,4,4
spring,5,thursday,clear cloudy,0.14,0.1212,0.5,0.2985,0,3,3
spring,6,thursday,clear cloudy,0.12,0.1515,0.54,0.1343,0,28,28
spring,7,thursday,clear cloudy,0.12,0.1515,0.54,0.1343,0,72,72
spring,8,thursday,clear cloudy,0.14,0.1364,0.5,0.194,5,197,202
spring,9,thursday,clear cloudy,0.14,0.1212,0.5,0.3284,2,137,139
spring,10,thursday,mist cloudy,0.16,0.1364,0.5,0.3582,2,36,38
spring,11,thursday,mist cloudy,0.2,0.1667,0.44,0.4478,4,33,37
spring,12,thursday,clear cloudy,0.2,0.1667,0.44,0.4179,3,49,52
spring,13,thursday,clear cloudy,0.22,0.197,0.41,0.4478,2,81,83
spring,14,thursday,clear cloudy,0.22,0.197,0.41,0.3881,3,39,42
spring,15,thursday,clear cloudy,0.24,0.2121,0.38,0.2985,5,55,60
spring,16,thursday,clear cloudy,0.24,0.2121,0.38,0.3582,2,76,78
spring,17,thursday,clear cloudy,0.2,0.1818,0.4,0.2836,4,158,162
spring,18,thursday,clear cloudy,0.2,0.1818,0.4,0.3284,3,141,144
spring,19,thursday,clear cloudy,0.16,0.1515,0.47,0.2537,1,98,99
spring,20,thursday,clear cloudy,0.16,0.1515,0.47,0.2239,0,64,64
spring,21,thursday,clear cloudy,0.14,0.1212,0.46,0.2985,0,40,40
spring,22,thursday,clear cloudy,0.14,0.1212,0.46,0.3284,0,30,30
spring,23,thursday,clear cloudy,0.12,0.1364,0.5,0.194,1,14,15
spring,0,friday,clear cloudy,0.12,0.1364,0.5,0.194,0,14,14
spring,1,friday,clear cloudy,0.1,0.1212,0.54,0.1642,0,5,5
spring,2,friday,clear cloudy,0.1,0.1212,0.54,0.1343,0,1,1
spring,3,friday,clear cloudy,0.1,0.1364,0.54,0.1045,0,1,1
spring,5,friday,clear cloudy,0.1,0.1364,0.54,0.0896,0,8,8
spring,6,friday,clear cloudy,0.1,0.1818,0.54,0.0,0,17,17
spring,7,friday,clear cloudy,0.1,0.1212,0.74,0.1642,0,70,70
spring,8,friday,clear cloudy,0.12,0.1667,0.68,0.0,2,156,158
spring,9,friday,clear cloudy,0.14,0.1515,0.69,0.1343,0,117,117
spring,10,friday,clear cloudy,0.18,0.1818,0.55,0.194,4,40,44
spring,11,friday,clear cloudy,0.18,0.1667,0.51,0.2836,6,47,53
spring,12,friday,clear cloudy,0.2,0.197,0.44,0.2537,2,59,61
spring,13,friday,clear cloudy,0.22,0.197,0.37,0.3881,4,73,77
spring,14,friday,clear cloudy,0.22,0.2121,0.41,0.2836,5,59,64
spring,15,friday,clear cloudy,0.24,0.2424,0.38,0.1642,9,59,68
spring,16,friday,clear cloudy,0.22,0.2424,0.41,0.1045,3,87,90
spring,17,friday,clear cloudy,0.22,0.2273,0.41,0.1642,4,155,159
spring,18,friday,clear cloudy,0.2,0.2576,0.47,0.0,5,134,139
spring,19,friday,clear cloudy,0.16,0.197,0.59,0.0896,3,89,92
spring,20,friday,clear cloudy,0.18,0.2424,0.59,0.0,0,68,68
spring,21,friday,clear cloudy,0.16,0.2273,0.69,0.0,4,48,52
spring,22,friday,mist cloudy,0.16,0.2273,0.69,0.0,2,34,36
spring,23,friday,mist cloudy,0.18,0.2424,0.55,0.0,1,26,27
spring,0,saturday,clear cloudy,0.18,0.2424,0.55,0.0,3,25,28
spring,1,saturday,mist cloudy,0.16,0.197,0.59,0.0896,2,18,20
spring,2,saturday,mist cloudy,0.16,0.197,0.59,0.0896,0,12,12
spring,3,saturday,mist cloudy,0.16,0.2273,0.59,0.0,1,7,8
spring,4,saturday,mist cloudy,0.16,0.2273,0.59,0.0,0,5,5
spring,5,saturday,clear cloudy,0.16,0.2273,0.59,0.0,0,1,1
spring,6,saturday,clear cloudy,0.14,0.1667,0.63,0.1045,1,2,3
spring,7,saturday,clear cloudy,0.14,0.2121,0.63,0.0,1,9,10
spring,8,saturday,clear cloudy,0.14,0.1515,0.63,0.1343,1,22,23
spring,9,saturday,clear cloudy,0.16,0.1818,0.64,0.1343,2,31,33
spring,10,saturday,clear cloudy,0.18,0.197,0.59,0.1642,2,57,59
spring,11,saturday,clear cloudy,0.2,0.197,0.55,0.2239,18,54,72
spring,12,saturday,clear cloudy,0.24,0.2273,0.48,0.2239,15,74,89
spring,13,saturday,clear cloudy,0.28,0.2576,0.38,0.2985,21,80,101
spring,14,saturday,clear cloudy,0.3,0.2879,0.39,0.2836,26,92,118
spring,15,saturday,mist cloudy,0.32,0.3182,0.36,0.194,21,108,129
spring,16,saturday,mist cloudy,0.34,0.3333,0.34,0.194,33,95,128
spring,17,saturday,mist cloudy,0.32,0.303,0.36,0.2836,29,54,83
spring,18,saturday,mist cloudy,0.3,0.2879,0.45,0.2537,15,69,84
spring,19,saturday,mist cloudy,0.32,0.303,0.39,0.2537,14,60,74
spring,20,saturday,mist cloudy,0.32,0.303,0.39,0.2537,6,35,41
spring,21,saturday,mist cloudy,0.32,0.303,0.39,0.2239,6,51,57
spring,22,saturday,mist cloudy,0.3,0.3182,0.42,0.1045,0,26,26
spring,23,saturday,clear cloudy,0.3,0.2879,0.45,0.2836,5,39,44
spring,0,sunday,clear cloudy,0.26,0.303,0.56,0.0,6,33,39
spring,1,sunday,clear cloudy,0.26,0.2727,0.56,0.1343,4,19,23
spring,2,sunday,clear cloudy,0.26,0.2879,0.56,0.0896,3,13,16
spring,3,sunday,clear cloudy,0.22,0.2727,0.69,0.0,9,6,15
